District,Building name,Last date of visit of the case(s),Related cases
Eastern,"Block 3, Harmony Garden",28/12/2022,
Eastern,"Block 4, Harmony Garden",28/12/2022,
Eastern,"Block 5, Harmony Garden",28/12/2022,
Eastern,"Block 6, Harmony Garden",28/12/2022,
Eastern,"Block 7, Harmony Garden",28/12/2022,
Eastern,"Block 8, Harmony Garden",28/12/2022,
Eastern,Fu Yan Court,28/12/2022,
Eastern,"Fu Kar Court, Fortress Garden",28/12/2022,
Eastern,"Fu Wai Court, Fortress Garden",28/12/2022,
Eastern,"Fullview Court, Fortress Garden",28/12/2022,
Eastern,"Fu Dat Court, Fortress Garden",28/12/2022,
Eastern,"Golden Pine Court, Full Wealth Gardens",28/12/2022,
Eastern,"Golden Cedar Court, Full Wealth Gardens",28/12/2022,
Eastern,"Golden Peach Court, Full Wealth Gardens",28/12/2022,
Eastern,"Golden Maple Court, Full Wealth Gardens",28/12/2022,
Eastern,Flora Garden,28/12/2022,
Eastern,"Block C, Bo Fung Gardens",28/12/2022,
Eastern,Po Fuk Building,28/12/2022,
Eastern,Blossom Mansion,28/12/2022,
Eastern,Po Fung Building,28/12/2022,
Eastern,"Block 3, Pacific Palisades",28/12/2022,
Eastern,"Block 5, Pacific Palisades",28/12/2022,
Eastern,Braemar Terrace,28/12/2022,
Eastern,"Sui Hei House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Fu House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Keung House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Ming House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Lok House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Tai House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Fat House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Yick House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Shing House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Fuk House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Sui Lung House, Siu Sai Wan Estate",28/12/2022,
Eastern,"Tsui Pui House, Shan Tsui Court",28/12/2022,
Eastern,"Tsui Yue House, Shan Tsui Court",28/12/2022,
Eastern,"Tsui Pik House, Shan Tsui Court",28/12/2022,
Eastern,"Hiu Fung House, Fung Wah Estate",28/12/2022,
Eastern,"Sau Fung House, Fung Wah Estate",28/12/2022,
Eastern,"Block A, Perfect Mount Gardens",28/12/2022,
Eastern,"Block D, Perfect Mount Gardens",28/12/2022,
Eastern,"Block 10, Kornhill Gardens",28/12/2022,
Eastern,"Block 2, Kornhill Gardens",28/12/2022,
Eastern,"Block 3, Kornhill Gardens",28/12/2022,
Eastern,"Block 4, Kornhill Gardens",28/12/2022,
Eastern,"Block 5, Kornhill Gardens",28/12/2022,
Eastern,"Block 6, Kornhill Gardens",28/12/2022,
Eastern,"Block 7, Kornhill Gardens",28/12/2022,
Eastern,"Block 8, Kornhill Gardens",28/12/2022,
Eastern,Vicky Court,28/12/2022,
Eastern,"Block A, Kornhill",28/12/2022,
Eastern,"Block B, Kornhill",28/12/2022,
Eastern,"Block C, Kornhill",28/12/2022,
Eastern,"Block D, Kornhill",28/12/2022,
Eastern,"Block E, Kornhill",28/12/2022,
Eastern,"Block F, Kornhill",28/12/2022,
Eastern,"Block H, Kornhill",28/12/2022,
Eastern,"Block J, Kornhill",28/12/2022,
Eastern,"Block K, Kornhill",28/12/2022,
Eastern,"Block N, Kornhill",28/12/2022,
Eastern,"Block P, Kornhill",28/12/2022,
Eastern,"Block Q, Kornhill",28/12/2022,
Eastern,"Block A, Mount Parker Lodge",28/12/2022,
Eastern,"Block C, Mount Parker Lodge",28/12/2022,
Eastern,"Block D, Mount Parker Lodge",28/12/2022,
Eastern,"Block E, Mount Parker Lodge",28/12/2022,
Eastern,"Hong Shui House, Hong Tung Estate",28/12/2022,
Eastern,"Tower D, Fortress Metro Tower",28/12/2022,
Eastern,2 Comfort Terrace,28/12/2022,
Eastern,"Tower 1, Greenwood Terrace",28/12/2022,
Eastern,"Tower 2, Greenwood Terrace",28/12/2022,
Eastern,"Tower 3, Greenwood Terrace",28/12/2022,
Eastern,"Tower 4, Greenwood Terrace",28/12/2022,
Eastern,"Tower 5, Greenwood Terrace",28/12/2022,
Eastern,"Tower 6, Greenwood Terrace",28/12/2022,
Eastern,"Tower 7, Greenwood Terrace",28/12/2022,
Eastern,"Block 2, Hong Wah Mansion",28/12/2022,
Eastern,"Tower 1, Kornville",28/12/2022,
Eastern,Cornell Court,28/12/2022,
Eastern,Ellen Building,28/12/2022,
Eastern,Lime Habitat,28/12/2022,
Eastern,"Tower 1B, Lime Gala",28/12/2022,
Eastern,"Tower 2, Lime Gala",28/12/2022,
Eastern,Royal Terrace,28/12/2022,
Eastern,Tak Fook Building,28/12/2022,
Eastern,"Lok Yee House, Yee Tsui Court",28/12/2022,
Eastern,"Yat Yee House, Yee Tsui Court",28/12/2022,
Eastern,Hang Ying House,28/12/2022,
Eastern,Yuet Chui Court,28/12/2022,
Eastern,Wai Lee Building,28/12/2022,
Eastern,"Block B, Westlands Gardens",28/12/2022,
Eastern,"Block E, Westlands Gardens",28/12/2022,
Eastern,"Block F, Westlands Gardens",28/12/2022,
Eastern,"Oi Ping House, Oi Tung Estate",28/12/2022,
Eastern,"Oi Yuk House, Oi Tung Estate",28/12/2022,
Eastern,"Oi Chak House, Oi Tung Estate",28/12/2022,
Eastern,"Oi Yat House, Oi Tung Estate",28/12/2022,
Eastern,"Block 3, Aldrich Garden",28/12/2022,
Eastern,"Block 4, Aldrich Garden",28/12/2022,
Eastern,"Block 5, Aldrich Garden",28/12/2022,
Eastern,"Block 6, Aldrich Garden",28/12/2022,
Eastern,"Block 7, Aldrich Garden",28/12/2022,
Eastern,"Block 8, Aldrich Garden",28/12/2022,
Eastern,"Block 9, Aldrich Garden",28/12/2022,
Eastern,Wilshire Towers,28/12/2022,
Eastern,Seng Ming Court,28/12/2022,
Eastern,"Block D, Sunway Gardens",28/12/2022,
Eastern,Sun Tak House,28/12/2022,
Eastern,"Block A, Sun Sing Centre",28/12/2022,
Eastern,"Block 1, New Jade Garden",28/12/2022,
Eastern,"Block 3, New Jade Garden",28/12/2022,
Eastern,"Block 5, New Jade Garden",28/12/2022,
Eastern,"Block 6, New Jade Garden",28/12/2022,
Eastern,Sentact Building,28/12/2022,
Eastern,"Block B, Metropole Building",28/12/2022,
Eastern,"Block C, Metropole Building",28/12/2022,
Eastern,"Block D, Metropole Building",28/12/2022,
Eastern,"Block A, King's Towers",28/12/2022,
Eastern,"Block B, King's Tower",28/12/2022,
Eastern,Cheong Yuen Apartments,28/12/2022,
Eastern,"Block A, Ming Fai Building",28/12/2022,
Eastern,Ming Sau Building,28/12/2022,
Eastern,"Block 1, Ming Wah Dai Ha",28/12/2022,
Eastern,"Block A, Ming Wah Dai Ha",28/12/2022,
Eastern,"Block B, Ming Wah Dai Ha",28/12/2022,
Eastern,The Oakridge,28/12/2022,
Eastern,"Ngan Sing Mansion, Sing Fai Terrace",28/12/2022,
Eastern,King Tsui Court,28/12/2022,
Eastern,King Fai Building,28/12/2022,
Eastern,"Bik Tsui House, Hiu Tsui Court",28/12/2022,
Eastern,"Ngar Tsui House, Hiu Tsui Court",28/12/2022,
Eastern,"Tsui Ching House, Hang Tsui Court",28/12/2022,
Eastern,"Block 10, Heng Fa Chuen",28/12/2022,
Eastern,"Block 17, Heng Fa Chuen",28/12/2022,
Eastern,"Block 18, Heng Fa Chuen",28/12/2022,
Eastern,"Block 21, Heng Fa Chuen",28/12/2022,
Eastern,"Block 24, Heng Fa Chuen",28/12/2022,
Eastern,"Block 27, Heng Fa Chuen",28/12/2022,
Eastern,"Block 28, Heng Fa Chuen",28/12/2022,
Eastern,"Block 29, Heng Fa Chuen",28/12/2022,
Eastern,"Block 30, Heng Fa Chuen",28/12/2022,
Eastern,"Block 32, Heng Fa Chuen",28/12/2022,
Eastern,"Block 34, Heng Fa Chuen",28/12/2022,
Eastern,"Block 35, Heng Fa Chuen",28/12/2022,
Eastern,"Block 36, Heng Fa Chuen",28/12/2022,
Eastern,"Block 37, Heng Fa Chuen",28/12/2022,
Eastern,"Block 38, Heng Fa Chuen",28/12/2022,
Eastern,"Block 39, Heng Fa Chuen",28/12/2022,
Eastern,"Block 40, Heng Fa Chuen",28/12/2022,
Eastern,"Block 41, Heng Fa Chuen",28/12/2022,
Eastern,"Block 45, Heng Fa Chuen",28/12/2022,
Eastern,"Block 46, Heng Fa Chuen",28/12/2022,
Eastern,"Block 48, Heng Fa Chuen",28/12/2022,
Eastern,"Block 49, Heng Fa Chuen",28/12/2022,
Eastern,"Block 6, Heng Fa Chuen",28/12/2022,
Eastern,"Block 8, Heng Fa Chuen",28/12/2022,
Eastern,"Block 1, Eastway Towers",28/12/2022,
Eastern,"Block 2, Eastway Towers",28/12/2022,
Eastern,Tung Po Mansion,28/12/2022,
Eastern,"Tung Ning House, Tung Yuk Court",28/12/2022,
Eastern,"Tung Hiu House, Tung Yuk Court",28/12/2022,
Eastern,"Tung Chi House, Tung Yuk Court",28/12/2022,
Eastern,"Tung Lai House, Tung Yuk Court",28/12/2022,
Eastern,Tung Wong House,28/12/2022,
Eastern,"Wing Yan House, Tung Yan Court",28/12/2022,
Eastern,"Foon Yan House, Tung Yan Court",28/12/2022,
Eastern,"Ying Tao House, Tung Tao Court",28/12/2022,
Eastern,"Fai Tao House, Tung Tao Court",28/12/2022,
Eastern,"King Hei House, Tung Hei Court",28/12/2022,
Eastern,"Wah Hei House, Tung Hei Court",28/12/2022,
Eastern,"Yat Hei House, Tung Hei Court",28/12/2022,
Eastern,"Block C, Tung Fat Building",28/12/2022,
Eastern,"Block D, Tung Fat Building",28/12/2022,
Eastern,Tung Hing Building,28/12/2022,
Eastern,Tung Fai Building,28/12/2022,
Eastern,Tung Lam Court,28/12/2022,
Eastern,"Kam Chun House, Tung Chun Court",28/12/2022,
Eastern,"Ngan Chun House, Tung Chun Court",28/12/2022,
Eastern,"Tower 1, Fleur Pavilia",28/12/2022,
Eastern,"Tower 2, Fleur Pavilia",28/12/2022,
Eastern,"Tower 3, Fleur Pavilia",28/12/2022,
Eastern,"Block 1, Chai Wan Police Married Quarters",28/12/2022,
Eastern,"Block 2, Chai Wan Police Married Quarters",28/12/2022,
Eastern,Chai Wan Cinema Building,28/12/2022,
Eastern,"Wan Ying House, Chai Wan Estate",28/12/2022,
Eastern,"Hong Pak Mansion, Parkvale",28/12/2022,
Eastern,"Shui Pak Mansion, Parkvale",28/12/2022,
Eastern,"Cheung Pak Mansion, Parkvale",28/12/2022,
Eastern,"Phase 2, Maple Gardens",28/12/2022,
Eastern,Wing Fat Building,28/12/2022,
Eastern,"Tower 1, Neptune Terrace",28/12/2022,
Eastern,"Tower 2, Neptune Terrace",28/12/2022,
Eastern,"Block 3, Neptune Terrace",28/12/2022,
Eastern,Harmony Place,28/12/2022,
Eastern,"Block 1, Lok Hin Terrace",28/12/2022,
Eastern,"Block 2, Lok Hin Terrace",28/12/2022,
Eastern,"Block 3, Lok Hin Terrace",28/12/2022,
Eastern,"Block 4, Lok Hin Terrace",28/12/2022,
Eastern,"Block 5, Lok Hin Terrace",28/12/2022,
Eastern,"Man Hong House, Model Housing Estate",28/12/2022,
Eastern,"Block 1, Felicity Garden",28/12/2022,
Eastern,"Block 2, Felicity Garden",28/12/2022,
Eastern,"Block 3, Felicity Garden",28/12/2022,
Eastern,Wing Po Mansion,28/12/2022,
Eastern,Tai On Court,28/12/2022,
Eastern,"Block 2, Hoi Kwong Court",28/12/2022,
Eastern,Montane Mansion,28/12/2022,
Eastern,"Sung Fung Court, Harbour Heights",28/12/2022,
Eastern,"Ko Fung Court, Harbour Heights",28/12/2022,
Eastern,Hoi Fung Centre,28/12/2022,
Eastern,Oceanic Mansion,28/12/2022,
Eastern,Hoi Ching Mansion,28/12/2022,
Eastern,"Tower 6, Victoria Harbour",28/12/2022,
Eastern,Ching Fai Terrace,28/12/2022,
Eastern,Harbour Grand Hong Kong,28/12/2022,
Eastern,Island Lodge,28/12/2022,
Eastern,Rica Victoria,28/12/2022,
Eastern,Moon Wah Building,28/12/2022,
Eastern,"Yue On House, Yue Wan Estate",28/12/2022,
Eastern,"Yue Tai House, Yue Wan Estate",28/12/2022,
Eastern,"Yue Chun House, Yue Wan Estate",28/12/2022,
Eastern,"Yue Shun House, Yue Wan Estate",28/12/2022,
Eastern,Knight Court,28/12/2022,
Eastern,Riviera Mansion,28/12/2022,
Eastern,Bayview Park,28/12/2022,
Eastern,"Fu Tsui House, Wan Tsui Estate",28/12/2022,
Eastern,"Yee Tsui House, Wan Tsui Estate",28/12/2022,
Eastern,"Kwai Tsui House, Wan Tsui Estate",28/12/2022,
Eastern,"On Fook Court, Bedford Gardens",28/12/2022,
Eastern,"Tak Fook Court, Bedford Gardens",28/12/2022,
Eastern,"Pak Lee Court, Bedford Gardens",28/12/2022,
Eastern,"Pak Sing Court, Bedford Gardens",28/12/2022,
Eastern,"Pak Hee Court, Bedford Gardens",28/12/2022,
Eastern,"Pak Cheung Court, Bedford Gardens",28/12/2022,
Eastern,"Hung Fook Court, Bedford Gardens",28/12/2022,
Eastern,Coronet Court,28/12/2022,
Eastern,Yick Cheong Building,28/12/2022,
Eastern,Yick Fat Building,28/12/2022,
Eastern,"Block A, Belleve Court",28/12/2022,
Eastern,"Block B, Belleve Court",28/12/2022,
Eastern,"Block 1, Shaukiwan Centre",28/12/2022,
Eastern,"Lai Yar Court, Shaukeiwan Plaza",28/12/2022,
Eastern,Maylun Apartments,28/12/2022,
Eastern,Mary Court,28/12/2022,
Eastern,"Tsui Luk House, Tsui Lok Estate",28/12/2022,
Eastern,"Tsui Shou House, Tsui Wan Estate",28/12/2022,
Eastern,"Tsui Ning House, Tsui Wan Estate",28/12/2022,
Eastern,"Tsui Fuk House, Tsui Wan Estate",28/12/2022,
Eastern,"Yiu Fu House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Cheong House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Ming House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Lok House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Fook House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Hing House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Wah House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Fung House, Yiu Tung Estate",28/12/2022,
Eastern,"Yiu Fai House, Yiu Tung Estate",28/12/2022,
Eastern,"Hing Hong House, Hing Tung Estate",28/12/2022,
Eastern,"Hing Cho House, Hing Tung Estate",28/12/2022,
Eastern,"Hing Fung House, Hing Tung Estate",28/12/2022,
Eastern,"Man Fu House, Hing Man Estate",28/12/2022,
Eastern,"Man Chak House, Hing Man Estate",28/12/2022,
Eastern,"Man Yat House, Hing Man Estate",28/12/2022,
Eastern,Hing Cheong Building,28/12/2022,
Eastern,"Cheuk Wah House, Hing Wah Estate",28/12/2022,
Eastern,"Wo Hing House, Hing Wah Estate",28/12/2022,
Eastern,"On Hing House, Hing Wah Estate",28/12/2022,
Eastern,"Chin Hing House, Hing Wah Estate",28/12/2022,
Eastern,"Lok Hing House, Hing Wah Estate",28/12/2022,
Eastern,"May Wah House, Hing Wah Estate",28/12/2022,
Eastern,"Hing Tsui House, Hing Wah Estate",28/12/2022,
Eastern,"Yu Hing House, Hing Wah Estate",28/12/2022,
Eastern,"Fung Hing House, Hing Wah Estate",28/12/2022,
Eastern,King's Centre,28/12/2022,
Eastern,"Grandview Court, 889 King's Road",28/12/2022,
Eastern,King's View Court,28/12/2022,
Eastern,"Yan Wah House, Yan Tsui Court",28/12/2022,
Eastern,Wah Shun Gardens,28/12/2022,
Eastern,Wah Hoi Mansion,28/12/2022,
Eastern,Piedmont Garden,28/12/2022,
Eastern,Wah Tong Building,28/12/2022,
Eastern,"Wah Yan House, Wah Ha Estate",28/12/2022,
Eastern,Wah Shing Building,28/12/2022,
Eastern,Wah Hai Mansion,28/12/2022,
Eastern,Wah Fuk Court,28/12/2022,
Eastern,Wah Lai Mansion,28/12/2022,
Eastern,"Yuk Lan Mansion, Westlands Court",28/12/2022,
Eastern,"Gee Lan Mansion, Westlands Court",28/12/2022,
Eastern,Wah Yu Court,28/12/2022,
Eastern,Wah Shing Mansion,28/12/2022,
Eastern,"Block A, Maiden Court",28/12/2022,
Eastern,"Block B, Maiden Court",28/12/2022,
Eastern,"Tower 1, Island Resort",28/12/2022,
Eastern,"Tower 2, Island Resort",28/12/2022,
Eastern,"Tower 3, Island Resort",28/12/2022,
Eastern,"Tower 5, Island Resort",28/12/2022,
Eastern,"Tower 6, Island Resort",28/12/2022,
Eastern,"Tower 8, Island Resort",28/12/2022,
Eastern,"Block 1, Le Sommet",28/12/2022,
Eastern,Ho King View,28/12/2022,
Eastern,"Block 10, Braemar Hill Mansions",28/12/2022,
Eastern,"Block 7, Braemar Hill Mansions",28/12/2022,
Eastern,"Block 9, Braemar Hill Mansions",28/12/2022,
Eastern,Feiloon Terrace,28/12/2022,
Eastern,Fung Yuen Building,28/12/2022,
Eastern,"Lin Tsui House, Lin Tsui Estate",28/12/2022,
Eastern,"Tower 1, The Orchards",28/12/2022,
Eastern,"Tower 2, The Orchards",28/12/2022,
Eastern,"Le Printemps, Les Saisons",28/12/2022,
Eastern,"L'Automne, Les Saisons",28/12/2022,
Eastern,Le Riviera,28/12/2022,
Eastern,Metro Mansion,28/12/2022,
Eastern,Dollar Mansion,28/12/2022,
Eastern,"Block A, Golden Castle Mansion",28/12/2022,
Eastern,Golden Mansion,28/12/2022,
Eastern,Kam Hoi Mansion,28/12/2022,
Eastern,"Block B, Gold Mine Building",28/12/2022,
Eastern,"Block C, Gold Mine Building",28/12/2022,
Eastern,Kim Fat Mansion,28/12/2022,
Eastern,Ngan Fai Building,28/12/2022,
Eastern,Kam Ping Mansion,28/12/2022,
Eastern,Metro Hermitage,28/12/2022,
Eastern,Artview Court,28/12/2022,
Eastern,Melody Court,28/12/2022,
Eastern,"Block A1, Summit Court",28/12/2022,
Eastern,Shun King Building,28/12/2022,
Eastern,"Tower 3, Island Garden",28/12/2022,
Eastern,46 Marble Road,28/12/2022,
Eastern,"Block 2, Koway Court",28/12/2022,
Eastern,"Block 3, Koway Court",28/12/2022,
Eastern,"Block 4, Koway Court",28/12/2022,
Eastern,"On Ming Mansion, Lei King Wan",28/12/2022,
Eastern,"On Chak Mansion, Lei King Wan",28/12/2022,
Eastern,"On Tsui Mansion, Lei King Wan",28/12/2022,
Eastern,"Yee Yun Mansion, Lei King Wan",28/12/2022,
Eastern,"Yat Wing Mansion, Lei King Wan",28/12/2022,
Eastern,Hung Fuk Building,28/12/2022,
Eastern,Majestic Apartments,28/12/2022,
Eastern,"Tower 1, Newton Harbour View",28/12/2022,
Eastern,"Tower 2, Newton Harbour View",28/12/2022,
Eastern,Lai Wan Building,28/12/2022,
Eastern,Lido Apartments,28/12/2022,
Eastern,Casa 880,27/12/2022,
Eastern,Mount Parker Residences,27/12/2022,
Eastern,Yen Dack Building,27/12/2022,
Eastern,Wai Hang Mansion,27/12/2022,
Eastern,"Block A, Healthy Gardens",27/12/2022,
Eastern,"Hong Fai Court, Healthy Village",27/12/2022,
Eastern,"Hung To Lau, Healthy Village",27/12/2022,
Eastern,Siu Nin Building,27/12/2022,
Eastern,Siu Man Court,27/12/2022,
Eastern,North Point Mansion,27/12/2022,
Eastern,Southern Building,27/12/2022,
Eastern,"Block 1, Nan Fung Sun Chuen",27/12/2022,
Eastern,"Block 8, Nan Fung Sun Chuen",27/12/2022,
Eastern,Grand Garden,27/12/2022,
Eastern,"Block 17, Provident Centre",27/12/2022,
Eastern,The Wharf,27/12/2022,
Eastern,Ka Bo Building,27/12/2022,
Eastern,"Block 12, City Garden",27/12/2022,
Eastern,"Block 4, City Garden",27/12/2022,
Eastern,Harbour View Terrace,27/12/2022,
Eastern,Tai Sing House,27/12/2022,
Eastern,"Nam Hoi Mansion, Taikoo Shing",27/12/2022,
Eastern,"Tang Kung Mansion, Taikoo Shing",27/12/2022,
Eastern,"Hsia Kung Mansion, Taikoo Shing",27/12/2022,
Eastern,"Tien Shan Mansion, Taikoo Shing",27/12/2022,
Eastern,"Tien Sing Mansion, Taikoo Shing",27/12/2022,
Eastern,"Hang Sing Mansion, Taikoo Shing",27/12/2022,
Eastern,"Primrose Mansion, Taikoo Shing",27/12/2022,
Eastern,"Hoi Sing Mansion, Taikoo Shing",27/12/2022,
Eastern,"Willow Mansion, Taikoo Shing",27/12/2022,
Eastern,"Marigold Mansion, Taikoo Shing",27/12/2022,
Eastern,"Yiu Sing Mansion, Taikoo Shing",27/12/2022,
Eastern,"Hing On Mansion, Taikoo Shing",27/12/2022,
Eastern,"Ngan Sing Mansion, Taikoo Shing",27/12/2022,
Eastern,"Ko On Mansion, Taikoo Shing",27/12/2022,
Eastern,"Foong Shan Mansion, Taikoo Shing",27/12/2022,
Eastern,"Block A, Universal Towers",27/12/2022,
Eastern,On Ning Building,27/12/2022,
Eastern,Wang Fai Mansion,27/12/2022,
Eastern,Fu Ming Court,27/12/2022,
Eastern,"Block 4, Beverley Heights",27/12/2022,
Eastern,"Golden Cassia Court, Full Wealth Gardens",27/12/2022,
Eastern,Po Lee Building,27/12/2022,
Eastern,"Block 2, Pacific Palisades",27/12/2022,
Eastern,"Tower 9, Pacific Palisades",27/12/2022,
Eastern,"Sui Moon House, Siu Sai Wan Estate",27/12/2022,
Eastern,"Tsui Lam House, Shan Tsui Court",27/12/2022,
